Freq.	V(n001)-V(n002)	I(D1)
1.39315680294529e+01	(-5.92726430852440e+01dB,-9.43802313748233e-05°)	(-8.00949629205516e+01dB,1.03752131921796e-06°)
1.39636836105593e+01	(-5.92726430852441e+01dB,-9.45978002779914e-05°)	(-8.00949629205516e+01dB,1.03991305286653e-06°)
1.39958732257261e+01	(-5.92726430852441e+01dB,-9.48158707292748e-05°)	(-8.00949629205516e+01dB,1.04231030003670e-06°)
1.40281370456195e+01	(-5.92726430852443e+01dB,-9.50344438848702e-05°)	(-8.00949629205516e+01dB,1.04471307342811e-06°)
1.40604752412990e+01	(-5.92726430852442e+01dB,-9.52535209036247e-05°)	(-8.00949629205516e+01dB,1.04712138578486e-06°)
1.40928879842186e+01	(-5.92726430852444e+01dB,-9.54731029470667e-05°)	(-8.00949629205516e+01dB,1.04953524987400e-06°)
1.41253754462274e+01	(-5.92726430852444e+01dB,-9.56931911793942e-05°)	(-8.00949629205516e+01dB,1.05195467849627e-06°)
1.41579377995707e+01	(-5.92726430852445e+01dB,-9.59137867674956e-05°)	(-8.00949629205516e+01dB,1.05437968447846e-06°)
1.41905752168908e+01	(-5.92726430852446e+01dB,-9.61348908809484e-05°)	(-8.00949629205516e+01dB,1.05681028067492e-06°)
1.42232878712281e+01	(-5.92726430852447e+01dB,-9.63565046920216e-05°)	(-8.00949629205516e+01dB,1.05924647997370e-06°)
1.42560759360218e+01	(-5.92726430852446e+01dB,-9.65786293756890e-05°)	(-8.00949629205516e+01dB,1.06168829529654e-06°)
1.42889395851109e+01	(-5.92726430852447e+01dB,-9.68012661096375e-05°)	(-8.00949629205516e+01dB,1.06413573957896e-06°)
1.43218789927353e+01	(-5.92726430852447e+01dB,-9.70244160742617e-05°)	(-8.00949629205516e+01dB,1.06658882580703e-06°)
1.43548943335364e+01	(-5.92726430852448e+01dB,-9.72480804526792e-05°)	(-8.00949629205516e+01dB,1.06904756698367e-06°)
1.43879857825583e+01	(-5.92726430852449e+01dB,-9.74722604307426e-05°)	(-8.00949629205516e+01dB,1.07151197614088e-06°)
1.44211535152486e+01	(-5.92726430852450e+01dB,-9.76969571970270e-05°)	(-8.00949629205516e+01dB,1.07398206634896e-06°)
