time,original,quantized,error
0.2882083333,1.9318516526,1.9375000000,-0.0056483474
0.2882291667,1.9828897227,2.0000000000,-0.0171102773
0.2882500000,2.0000000000,2.0000000000,0.0000000000
0.2882708333,1.9828897227,2.0000000000,-0.0171102773
0.2882916667,1.9318516526,1.9375000000,-0.0056483474
0.2883125000,1.8477590650,1.8750000000,-0.0272409350
0.2883333333,1.7320508076,1.7500000000,-0.0179491924
0.2883541667,1.5867066806,1.5625000000,0.0242066806
0.2883750000,1.4142135624,1.4375000000,-0.0232864376
0.2883958333,1.2175228580,1.1875000000,0.0300228580
0.2884166667,1.0000000000,1.0000000000,0.0000000000
0.2884375000,0.7653668647,0.7500000000,0.0153668647
0.2884583333,0.5176380902,0.5000000000,0.0176380902
0.2884791667,0.2610523844,0.2500000000,0.0110523844
0.2885000000,0.0000000000,0.0000000000,0.0000000000
0.2885208333,-0.2610523844,-0.2500000000,-0.0110523844
0.2885416667,-0.5176380902,-0.5000000000,-0.0176380902
0.2885625000,-0.7653668647,-0.7500000000,-0.0153668647
0.2885833333,-1.0000000000,-1.0000000000,0.0000000000
0.2886041667,-1.2175228580,-1.1875000000,-0.0300228580
0.2886250000,-1.4142135624,-1.4375000000,0.0232864376
0.2886458333,-1.5867066806,-1.5625000000,-0.0242066806
0.2886666667,-1.7320508076,-1.7500000000,0.0179491924
0.2886875000,-1.8477590650,-1.8750000000,0.0272409350
0.2887083333,-1.9318516526,-1.9375000000,0.0056483474
0.2887291667,-1.9828897227,-2.0000000000,0.0171102773
0.2887500000,-2.0000000000,-2.0000000000,0.0000000000
0.2887708333,-1.9828897227,-2.0000000000,0.0171102773
0.2887916667,-1.9318516526,-1.9375000000,0.0056483474
0.2888125000,-1.8477590650,-1.8750000000,0.0272409350
0.2888333333,-1.7320508076,-1.7500000000,0.0179491924
0.2888541667,-1.5867066806,-1.5625000000,-0.0242066806
0.2888750000,-1.4142135624,-1.4375000000,0.0232864376
0.2888958333,-1.2175228580,-1.1875000000,-0.0300228580
0.2889166667,-1.0000000000,-1.0000000000,-0.0000000000
0.2889375000,-0.7653668647,-0.7500000000,-0.0153668647
0.2889583333,-0.5176380902,-0.5000000000,-0.0176380902
0.2889791667,-0.2610523844,-0.2500000000,-0.0110523844
0.2890000000,-0.0000000000,0.0000000000,-0.0000000000
0.2890208333,0.2610523844,0.2500000000,0.0110523844
0.2890416667,0.5176380902,0.5000000000,0.0176380902
0.2890625000,0.7653668647,0.7500000000,0.0153668647
0.2890833333,1.0000000000,1.0000000000,-0.0000000000
0.2891041667,1.2175228580,1.1875000000,0.0300228580
0.2891250000,1.4142135624,1.4375000000,-0.0232864376
0.2891458333,1.5867066806,1.5625000000,0.0242066806
0.2891666667,1.7320508076,1.7500000000,-0.0179491924
0.2891875000,1.8477590650,1.8750000000,-0.0272409350
0.2892083333,1.9318516526,1.9375000000,-0.0056483474
0.2892291667,1.9828897227,2.0000000000,-0.0171102773
0.2892500000,2.0000000000,2.0000000000,0.0000000000
0.2892708333,1.9828897227,2.0000000000,-0.0171102773
0.2892916667,1.9318516526,1.9375000000,-0.0056483474
0.2893125000,1.8477590650,1.8750000000,-0.0272409350
0.2893333333,1.7320508076,1.7500000000,-0.0179491924
0.2893541667,1.5867066806,1.5625000000,0.0242066806
0.2893750000,1.4142135624,1.4375000000,-0.0232864376
0.2893958333,1.2175228580,1.1875000000,0.0300228580
0.2894166667,1.0000000000,1.0000000000,0.0000000000
0.2894375000,0.7653668647,0.7500000000,0.0153668647
0.2894583333,0.5176380902,0.5000000000,0.0176380902
0.2894791667,0.2610523844,0.2500000000,0.0110523844
0.2895000000,0.0000000000,0.0000000000,0.0000000000
0.2895208333,-0.2610523844,-0.2500000000,-0.0110523844
0.2895416667,-0.5176380902,-0.5000000000,-0.0176380902
0.2895625000,-0.7653668647,-0.7500000000,-0.0153668647
0.2895833333,-1.0000000000,-1.0000000000,0.0000000000
0.2896041667,-1.2175228580,-1.1875000000,-0.0300228580
